date,Tic,open,high ,low,close,volume 
10/27/2008,Fameli,13.12,13.44,13.12,13.44,505010
10/28/2008,Fameli,13.04,13.44,13.04,13.44,20
10/29/2008,Fameli,13.04,13.36,13.04,13.36,455010
11/4/2008,Fameli,12.96,13.32,12.96,13.32,252833
11/5/2008,Fameli,12.92,13.16,12.92,13.16,923254
11/9/2008,Fameli,12.77,13.16,12.77,13.16,110
11/15/2008,Fameli,12.77,13.16,12.77,13.16,1958
11/16/2008,Fameli,12.77,13.16,12.77,13.16,9853
11/17/2008,Fameli,12.77,13.16,12.77,13.16,20
11/22/2008,Fameli,12.77,12.77,12.77,12.77,1000
11/23/2008,Fameli,12.38,12.38,12.38,12.38,2303
11/24/2008,Fameli,12.01,12.01,12.01,12.01,300
11/25/2008,Fameli,11.65,11.65,11.65,11.65,2135
11/26/2008,Fameli,11.31,11.65,11.31,11.65,339
11/29/2008,Fameli,11.31,11.31,11.31,11.31,1000
11/30/2008,Fameli,10.97,10.97,10.97,10.97,585
12/1/2008,Fameli,10.64,10.64,10.64,10.64,50
12/2/2008,Fameli,10.32,10.32,10.32,10.32,13
12/3/2008,Fameli,10.01,10.01,10.01,10.01,919
12/6/2008,Fameli,9.71,9.71,9.71,9.71,4000
12/7/2008,Fameli,9.42,9.42,9.42,9.71,100
12/10/2008,Fameli,9.42,9.42,9.42,9.42,2000
12/13/2008,Fameli,9.14,9.14,9.14,9.42,7000
12/14/2008,Fameli,9.14,9.14,9.14,9.14,10
12/15/2008,Fameli,8.87,8.87,8.87,9.14,5802
12/16/2008,Fameli,8.87,8.87,8.87,8.87,402015
12/20/2008,Fameli,8.6,8.6,8.6,8.87,3300
12/22/2008,Fameli,8.6,8.6,8.6,8.6,1893
12/23/2008,Fameli,8.35,8.35,8.35,8.35,50
12/24/2008,Fameli,8.1,8.1,8.1,8.34,34500
12/27/2008,Fameli,8.09,8.09,8.09,8.09,3270
12/28/2008,Fameli,7.85,7.85,7.85,7.85,200
12/29/2008,Fameli,7.62,7.62,7.62,7.62,2200
12/30/2008,Fameli,7.39,7.39,7.39,7.39,3363768
12/31/2008,Fameli,7.17,7.17,7.17,7.17,2600232
1/3/2009,Fameli,7.17,7.38,7.17,7.19,321392
1/4/2009,Fameli,7.41,7.41,7.41,7.19,38652
1/5/2009,Fameli,7.41,7.41,7.41,7.2,66678
1/10/2009,Fameli,7.41,7.41,7.41,7.2,23381
1/11/2009,Fameli,7.41,7.41,7.41,7.2,42905
1/12/2009,Fameli,7.42,7.42,7.42,7.21,24743
